dataset,cascade_id,label,y_false,final_size,final_depth,reach_target,window_type,window_value,not_reached_k,early_n_nodes,early_depth,avg_root_distance,early_width,branching_factor,internal_node_share,leaf_fraction,outdegree_entropy,structural_virality_proxy
twitter15,364383457545162754,false,1,311,2,5.7430031878094825,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,364383457545162754,false,1,311,2,5.7430031878094825,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,364589696573124609,false,1,370,2,5.916202062607435,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,364589696573124609,false,1,370,2,5.916202062607435,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,364589696573124609,false,1,370,2,5.916202062607435,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,365052155385749505,false,1,140,3,4.948759890378168,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,365052155385749505,false,1,140,3,4.948759890378168,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,365052155385749505,false,1,140,3,4.948759890378168,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,365056836476481537,false,1,117,2,4.770684624465665,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,365056836476481537,false,1,117,2,4.770684624465665,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,365056836476481537,false,1,117,2,4.770684624465665,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,365276206381268995,false,1,395,3,5.981414211254481,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,365276206381268995,false,1,395,3,5.981414211254481,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,365276206381268995,false,1,395,3,5.981414211254481,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,365497016098369536,false,1,136,2,4.919980925828125,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,365497016098369536,false,1,136,2,4.919980925828125,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,365497016098369536,false,1,136,2,4.919980925828125,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,366025766183514112,false,1,452,3,6.115892125483034,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,366025766183514112,false,1,452,3,6.115892125483034,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,366025766183514112,false,1,452,3,6.115892125483034,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,366205297557110784,false,1,163,3,5.099866427824199,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,366205297557110784,false,1,163,3,5.099866427824199,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,366205297557110784,false,1,163,3,5.099866427824199,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,369506008172740608,false,1,218,5,5.389071729816501,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,369506008172740608,false,1,218,5,5.389071729816501,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,369506008172740608,false,1,218,5,5.389071729816501,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,370855596050108416,false,1,161,2,5.087596335232384,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,370855596050108416,false,1,161,2,5.087596335232384,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,370855596050108416,false,1,161,2,5.087596335232384,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,372489152903643136,false,1,226,1,5.424950017481403,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,372489152903643136,false,1,226,1,5.424950017481403,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,372489152903643136,false,1,226,1,5.424950017481403,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,372901260183494656,false,1,222,2,5.407171771460119,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,372901260183494656,false,1,222,2,5.407171771460119,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,372901260183494656,false,1,222,2,5.407171771460119,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,372914976102834176,false,1,220,3,5.3981627015177525,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,372914976102834176,false,1,220,3,5.3981627015177525,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,372914976102834176,false,1,220,3,5.3981627015177525,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,376874273601630208,false,1,2406,4,7.786136437783072,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,376874273601630208,false,1,2406,4,7.786136437783072,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,376874273601630208,false,1,2406,4,7.786136437783072,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,376982539132366848,false,1,1527,3,7.331714969726466,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,376982539132366848,false,1,1527,3,7.331714969726466,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,376982539132366848,false,1,1527,3,7.331714969726466,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,377002232257855488,false,1,335,3,5.817111159963204,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,377002232257855488,false,1,335,3,5.817111159963204,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,377002232257855488,false,1,335,3,5.817111159963204,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,377519445578895360,false,1,146,3,4.990432586778736,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,377519445578895360,false,1,146,3,4.990432586778736,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,377519445578895360,false,1,146,3,4.990432586778736,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,380055172896272384,false,1,380,3,5.942799375126701,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,380055172896272384,false,1,380,3,5.942799375126701,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,380055172896272384,false,1,380,3,5.942799375126701,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,380140114552188928,false,1,200,3,5.303304908059076,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,380140114552188928,false,1,200,3,5.303304908059076,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,380140114552188928,false,1,200,3,5.303304908059076,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,386682163862986752,false,1,122,3,4.812184355372417,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,386682163862986752,false,1,122,3,4.812184355372417,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,386682163862986752,false,1,122,3,4.812184355372417,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,386998038004113409,false,1,241,3,5.488937726156687,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,386998038004113409,false,1,241,3,5.488937726156687,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,386998038004113409,false,1,241,3,5.488937726156687,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387006553124896768,false,1,134,3,4.90527477843843,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387006553124896768,false,1,134,3,4.90527477843843,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387006553124896768,false,1,134,3,4.90527477843843,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387006700609228801,false,1,164,2,5.10594547390058,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387006700609228801,false,1,164,2,5.10594547390058,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387006700609228801,false,1,164,2,5.10594547390058,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387007120689737729,false,1,255,3,5.545177444479562,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387007120689737729,false,1,255,3,5.545177444479562,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387007120689737729,false,1,255,3,5.545177444479562,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387009577763360768,false,1,476,2,6.1675164908883415,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387009577763360768,false,1,476,2,6.1675164908883415,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387009577763360768,false,1,476,2,6.1675164908883415,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387010299536355328,false,1,129,2,4.867534450455582,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387010299536355328,false,1,129,2,4.867534450455582,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387010299536355328,false,1,129,2,4.867534450455582,k,50,False,50,1,0.98,49,17.0,0.06,0.94,0.38254266919774566,1.9583673469387755
twitter15,387021726007042051,false,1,134,3,4.90527477843843,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387021726007042051,false,1,134,3,4.90527477843843,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387021726007042051,false,1,134,3,4.90527477843843,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387030572779847680,false,1,177,3,5.181783550292085,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387030572779847680,false,1,177,3,5.181783550292085,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387030572779847680,false,1,177,3,5.181783550292085,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387031585834278912,false,1,113,3,4.736198448394496,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387031585834278912,false,1,113,3,4.736198448394496,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387031585834278912,false,1,113,3,4.736198448394496,k,50,False,50,1,0.98,49,25.0,0.04,0.96,0.28229218908241477,1.9591836734693877
twitter15,387041762331471872,false,1,124,3,4.8283137373023015,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387041762331471872,false,1,124,3,4.8283137373023015,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387041762331471872,false,1,124,3,4.8283137373023015,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387050178932654080,false,1,123,4,4.820281565605037,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387050178932654080,false,1,123,4,4.820281565605037,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387050178932654080,false,1,123,4,4.820281565605037,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387220814531395584,false,1,273,3,5.6131281063880705,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387220814531395584,false,1,273,3,5.6131281063880705,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387220814531395584,false,1,273,3,5.6131281063880705,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387233034350514176,false,1,112,3,4.727387818712341,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387233034350514176,false,1,112,3,4.727387818712341,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387233034350514176,false,1,112,3,4.727387818712341,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387236601450864641,false,1,166,3,5.117993812416755,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387236601450864641,false,1,166,3,5.117993812416755,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387236601450864641,false,1,166,3,5.117993812416755,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387237225286479872,false,1,298,3,5.700443573390687,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387237225286479872,false,1,298,3,5.700443573390687,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387237225286479872,false,1,298,3,5.700443573390687,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387281927427727360,false,1,411,3,6.021023349349527,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387281927427727360,false,1,411,3,6.021023349349527,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387281927427727360,false,1,411,3,6.021023349349527,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387309869080281088,false,1,144,2,4.976733742420574,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387309869080281088,false,1,144,2,4.976733742420574,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387309869080281088,false,1,144,2,4.976733742420574,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,387353560356118528,false,1,180,2,5.198497031265826,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,387353560356118528,false,1,180,2,5.198497031265826,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,387353560356118528,false,1,180,2,5.198497031265826,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,407156621450571777,true,0,95,4,4.564348191467836,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,407156621450571777,true,0,95,4,4.564348191467836,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,407156621450571777,true,0,95,4,4.564348191467836,k,50,False,50,1,0.98,49,25.0,0.04,0.96,0.28229218908241477,1.9591836734693877
twitter15,407158558158254081,true,0,561,4,6.331501849893691,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,407158558158254081,true,0,561,4,6.331501849893691,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,407158558158254081,true,0,561,4,6.331501849893691,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,407159686786732032,true,0,90,2,4.51085950651685,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,407159686786732032,true,0,90,2,4.51085950651685,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,407159686786732032,true,0,90,2,4.51085950651685,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,407161635439013888,true,0,104,4,4.653960350157523,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,407161635439013888,true,0,104,4,4.653960350157523,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,407161635439013888,true,0,104,4,4.653960350157523,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
